day,W=14|q=0.2,W=14|q=0.3,W=28|q=0.2,W=28|q=0.3
2024-07-14,0.019753665691671692,0.019038787378129876,0.020388155380665206,0.01919543819807691
2024-07-15,-0.02032870160266604,-0.011879356117686302,-0.02081583356179693,-0.016495516844490014
2024-07-16,0.003532367924800979,0.005471589222285645,0.003601908882681293,0.00148940532156783
2024-07-17,-0.00023467545368018627,0.011561429130946052,0.0020603792116610986,0.012037248399703571
2024-07-18,-0.007263950151408097,0.0014142307898656157,0.004976481777807719,0.0014704604099987917
2024-07-19,-0.013185173741380403,-0.007155224965772285,-0.009461612960181146,-0.007444573489514144
2024-07-20,-0.006006947699843677,-0.014948657533010133,-0.011180913509486854,-0.015557009800589288
2024-07-21,-0.0005787138075474832,-0.007451553381574145,0.0031551182406122803,-0.007756365230968811
2024-07-22,-0.012818039034163477,-0.013522659470692554,-0.018587157261688754,-0.01400179452974403
2024-07-23,-0.006852254259056293,0.0029745267585400722,-0.0030884167790039213,0.0030691029017998707
2024-07-24,-0.003112857399056997,0.000607583291820419,-0.0029525574580555763,0.0006257522956026386
2024-07-25,0.009205716473603269,0.015277096752375192,0.008916404202329442,0.015666499612031766
2024-07-26,0.00668299983817269,-0.0035031680226975588,0.006472451124406707,-0.0036040552214240264
2024-07-27,-0.0036065649089259805,0.0013529177866408056,-0.0035050834491792164,0.001370774628029396
2024-07-28,-0.0058385811406500175,-0.005062152062698954,-0.005681899236887967,-0.005159287727312229
2024-07-29,-0.0015923086466528903,0.0018688426799139788,-0.0015504710844533806,0.0019060215770508873
2024-07-30,-0.009185252370701662,-0.0003596167136580641,-0.008930493885821091,-0.0003669012578870134
2024-07-31,-0.00019499570180261686,0.00905853371868615,0.002577720099465322,0.007773771159440302
2024-08-01,0.004219424583728349,0.007761612985724475,0.001781842899412738,0.007628119425606471
2024-08-02,0.0017782030666533186,0.005921440821193561,0.009252608655990369,0.009696909014335151
2024-08-03,-0.0090252503705876,-0.007030230564964197,-0.004748657383447152,-0.005209225278458005
2024-08-04,-0.0005410229014981852,-0.0003282413683218818,0.0018704671968723739,-0.00048816167940498564
2024-08-05,0.026261371563493795,0.015487438201233996,0.026471037668680336,0.024805698280841892
2024-08-06,0.007084637791431621,0.017595061466622732,0.00421502831239608,0.009794937981130325
2024-08-07,-0.03144271823829265,-0.008178194265156018,-0.030447574298493298,-0.005463179172057694
2024-08-08,0.016781680182623125,0.017267253845421972,0.016095153910250286,0.017155472918759622
2024-08-09,0.0007007018960030804,0.0026135648545910343,0.0006760218529097238,0.0128864552336703
2024-08-10,-0.004937463836442016,0.0017028472516685046,-0.004786923004464718,0.0016113812631638879
2024-08-11,0.00017522912918802754,0.00013491127530067918,0.000169665516478504,0.003405023634651253
2024-08-12,-0.0030416317185088053,0.0012207840951521107,-0.0029408016428074616,0.002112116897243195
2024-08-13,-0.0018596214834140532,-0.004588056783264892,-0.0017825886319513254,-0.00457114339825612
2024-08-14,-0.005173496020677348,-0.003307300055373481,-0.004971017939416406,-0.0032039657906714875
2024-08-15,-0.008173507861139392,-0.0073305311136504184,-0.007837490503865329,-0.006950200947431893
2024-08-16,0.0027866027993919238,-0.00154588483505667,0.002671821321508819,-0.0014515151387460947
2024-08-17,0.0008852831513176472,0.0012952507244429364,0.0008500710333476887,0.0012165859496992388
2024-08-18,0.003536381625775386,0.0027417561173686826,0.003364865825709035,0.002577270866311567
2024-08-19,-0.0037168161645475626,0.002584506516953208,-0.003578818214311783,0.002426704001229467
