enter_term_sys1,enter_term_sys2,leave_term_sys1,leave_term_sys2,win_rate,profit_loss_ratio,expectancy,mdd,final_whole_asset,positive_rate,median_asset,mean_asset,s1_return_median,s1_return_mean,s2_return_median,s2_return_mean,s1_max_consec_win,s1_max_consec_loss,s2_max_consec_win,s2_max_consec_loss,overall_max_consec_win,overall_max_consec_loss,final_win_count,final_loss_count,min_equity,min_realized_pnl,final_equity
20,55,13,20,0.3076923076923077,3.641064840514583,91.20862520884697,-0.23870739363051094,2371.424255430018,0.9365256124721604,2706.5531463100087,2526.0228290273353,-0.04086810631064186,0.00014474391236712577,-0.029190956629576166,0.003313638159219673,2,7,1,4,2,8,8,18,9985.478109759999,0.0,12371.424255430025
20,55,14,20,0.3076923076923077,3.7044626578193585,97.23161456192392,-0.23748210249512772,2528.021978610019,0.9365256124721604,2813.4893779000095,2695.05694678649,-0.04086810631064186,0.004181340741386257,-0.029190956629576166,0.00005831960309348985,2,7,1,4,2,8,8,18,9985.478109759999,0.0,12528.02197861002
20,55,15,20,0.34615384615384615,3.12978955838205,93.7643037992315,-0.23999780175810256,2437.871898780017,0.9365256124721604,2791.7163090700087,2693.484164287079,-0.04086810631064186,-0.002373080287091561,-0.008927092747367749,0.017073248203930094,2,7,2,3,2,7,9,17,9985.478109759999,0.0,12437.871898780024
20,55,16,20,0.34615384615384615,3.176674484443712,95.1474722538469,-0.23896501736894396,2473.834278600017,0.9365256124721604,2832.5412371800167,2741.9203857128464,-0.04086810631064186,-0.001064369666447818,-0.005978166280056985,0.017400906700297956,2,7,2,3,2,7,9,17,9985.478109759999,0.0,12473.83427860002
20,55,17,20,0.34615384615384615,2.6987883343418755,70.37368105846224,-0.2733207120077157,1829.715707520017,0.9287305122494433,2451.0733169600007,2312.0823114632703,-0.04778589042504065,-0.005861615453805476,-0.019579434762151685,0.029779657674468323,2,6,2,4,2,6,9,17,9943.299752330004,-2.497619889996713,11829.715707520025
20,55,18,20,0.38461538461538464,2.259132933068145,67.15372887076998,-0.2733207120077157,1745.9969506400175,0.9287305122494433,2451.0733169600007,2309.869555987992,-0.04778589042504065,-0.007099872471844144,-0.010441679233606647,0.03166544690730456,2,6,2,3,2,6,10,16,9943.299752330004,-2.497619889996713,11745.996950640027
20,55,19,20,0.38461538461538464,2.3521051823865147,73.59710826000071,-0.26262846205492163,1913.5248147600178,0.9287305122494433,2570.339210985007,2402.976426583682,-0.03915967402438289,-0.004924713866107506,-0.010441679233606647,0.03166544690730456,2,6,2,3,2,6,10,16,9943.299752330004,-2.497619889996713,11913.524814760025
21,55,5,20,0.3333333333333333,2.752394543486878,42.987126377879605,-0.2445843118290093,1418.5751704700224,0.9354120267260579,2186.1424080500133,2014.4265253794874,-0.024137381038399422,-0.0077828347097538605,-0.033180703244246386,-0.007772095834808996,3,6,1,5,4,6,11,22,9940.150647890008,-38.58295421999128,11418.57517047003
21,55,6,20,0.2903225806451613,3.389748223090755,52.72264911161372,-0.24078615487078428,1634.4021224600192,0.9365256124721604,2370.3149489050097,2294.5759690647074,-0.03533868179194967,-0.0035407011560929153,-0.033180703244246386,-0.010577610524707293,2,7,1,5,3,8,9,22,9985.478109759999,0.0,11634.40212246003
21,55,7,20,0.26666666666666666,3.726558700422819,50.012100380667334,-0.25118544651953006,1500.3630114200196,0.9365256124721604,2344.9132103400007,2297.82037250002,-0.03523310897726525,0.000574805116295441,-0.033180703244246386,-0.011846396304048884,2,7,1,5,3,8,8,22,9985.478109759999,0.0,11500.363011420028
