date,regime,ivp,z,dvol,covered_call,short_strangle_ps,long_straddle
2024-09-26,NORMAL,34.15,1.042,59.21,0.022151370058920223,0.039339631340691954,-0.06898764815407725
2024-09-27,NORMAL,32.79,1.035,58.85,0.02202737423741359,0.03910082161011247,-0.0734286181127116
2024-09-28,NORMAL,34.7,1.08,59.48,0.022244287246161565,0.03951874869044182,-0.13098944121802866
2024-09-29,NORMAL,43.99,1.232,61.6,0.022971493682215478,0.04092546919067746,-0.13614715945178527
2024-09-30,NORMAL,49.18,1.351,62.34,0.02322434552191104,0.04141663559002112,-0.14917252894887864
2024-10-01,NORMAL,60.38,1.32,64.37,0.02391537959424795,0.042764435941220064,-0.14682881211009557
2024-10-02,NORMAL,51.09,1.064,62.65,0.023330119123789596,0.04162241757104844,-0.09357975301508883
2024-10-03,NORMAL,61.48,1.209,64.57,0.02398325628161758,0.04289725852225961,-0.1277247423555964
2024-10-04,NORMAL,55.74,1.17,63.33,0.023561827365525437,0.04207385957040459,-0.13491259785933785
2024-10-05,NORMAL,54.64,1.148,63.09,0.02348009676901599,0.041914519268219,-0.14172006201902224
2024-10-06,NORMAL,60.66,1.171,64.46,0.023945928653206668,0.042824205312275036,-0.1103411419670666
2024-10-07,NORMAL,49.45,1.056,62.56,0.010009903848389828,0.02827315701231733,-0.01039148921312777
2024-10-08,NORMAL,43.72,1.022,61.91,-0.02115307490250006,-0.0030993360591248104,0.016816065963306925
2024-10-09,NORMAL,44.54,0.999,62.04,-0.07286446769043922,-0.05476886209482423,0.061954524834322816
2024-10-10,NORMAL,38.8,0.956,61.34,-0.11499495194540985,-0.0971245699274336,0.0989144504156233
2024-10-11,NORMAL,49.73,1.052,62.63,-0.08421036422828786,-0.06592452103771371,0.07174786300438671
2024-10-12,NORMAL,54.37,1.057,63.11,-0.1375725918583999,-0.11913170424419753,0.11812170033619265
2024-10-13,NORMAL,55.74,1.187,63.43,-0.055845365172768675,-0.037300977342293096,0.046916552520004734
2024-10-14,NORMAL,64.48,1.198,65.05,-0.038937381677801086,-0.019867333086062373,0.032054097993399644
2024-10-15,NORMAL,59.29,1.144,64.32,0.012056300221108046,0.03088912683582832,-0.012148364051128874
2024-10-16,NORMAL,49.18,1.176,62.66,-0.00674628919539676,0.011549237040786538,0.004216138477937947
2024-10-17,NORMAL,34.7,1.25,60.92,-0.015204640558466664,0.0025308578216094516,0.011663301482660982
2024-10-18,NORMAL,38.8,1.261,61.5,-0.012760891744539687,0.005160923899053718,0.009502390150370077
2024-10-19,NORMAL,41.26,1.272,61.86,-0.006562041548529997,0.011475599500897452,0.004074802583454551
2024-10-20,NORMAL,57.92,1.345,64.13,0.023833879020628054,0.04260505722934279,-0.027931947446569627
2024-10-21,NORMAL,50.55,1.205,62.83,-0.00997391280125728,0.008376502230617887,0.007024343113024939
