date,regime,ivp,z,dvol,covered_call,short_strangle_ps,long_straddle
2024-04-22,NORMAL,86.07,0.997,69.37,0.025601332094913033,0.04608707137204146,-0.11460018524035717
2024-04-23,NORMAL,81.97,0.453,64.16,0.023844069490134373,0.042624979071450915,-0.14616967720030632
2024-04-24,NORMAL,80.05,0.068,62.44,0.02325847575896458,0.041483015361849174,-0.08043346025840083
2024-04-25,NORMAL,78.42,-0.296,59.29,0.022178908193622976,0.03939270224107644,-0.06924297092398247
2024-04-26,NORMAL,66.12,-0.838,55.12,0.020735455845597252,0.03662730226159573,-0.04890192227841675
2024-04-27,NORMAL,63.93,-0.99,54.69,0.020585674591950265,0.03634223624781177,-0.0758459849014753
2024-04-28,NORMAL,72.13,-0.856,56.79,0.021315499803908403,0.03773457636811342,-0.05499163684623186
2024-04-29,NORMAL,66.94,-0.793,55.33,0.020808540922917784,0.03676652631900204,-0.067137614068838
2024-04-30,NORMAL,78.69,-1.57,59.81,-0.01708873026287332,0.00029119152467708964,0.01336422071130347
2024-05-01,NORMAL,79.78,-1.423,61.22,-0.00296345274649153,0.014868371939711408,0.0009422254187728685
2024-05-02,NORMAL,71.31,-2.09,56.77,0.009394332880212663,0.025807078117418572,-0.009912129270556319
2024-05-03,NORMAL,69.13,-2.739,55.88,0.020999755748354016,0.037131179352278755,-0.048531970452089415
2024-05-04,NORMAL,72.4,-2.567,56.89,0.021350149183690062,0.03780088865055718,-0.06075228082824344
2024-05-05,NORMAL,77.05,-2.315,58.65,0.021958435153855062,0.03896815603476921,-0.04754648553698221
2024-05-06,NORMAL,66.94,-2.637,55.57,0.020892015426403433,0.03692564428894334,-0.02978373298460732
2024-05-07,NORMAL,57.65,-2.782,53.76,0.0026365951764133547,0.018101218500938404,-0.003922105672358817
2024-05-08,NORMAL,66.12,-2.456,55.43,0.0134166007792661,0.029406097016104315,-0.013493134769213752
2024-05-09,NORMAL,53.28,-2.861,52.17,0.019704338354682778,0.03467190553488067,-0.03539859214189993
2024-05-10,NORMAL,60.11,-2.391,54.27,0.010038584446369072,0.02566319230928328,-0.010509065471628928
2024-05-11,NORMAL,59.02,-2.121,54.17,0.020404308547003865,0.035997525723569,-0.030509326044240614
2024-05-12,NORMAL,60.66,-1.997,54.52,0.02052641019902628,0.03622954000356231,-0.05494161687361809
2024-05-13,NORMAL,69.4,-1.591,56.13,0.02108657673128293,0.03729693989198317,-0.05068956419726417
2024-05-14,NORMAL,69.4,-1.544,56.23,0.021121288544330555,0.03736324575201318,-0.06494045179786323
2024-05-15,NORMAL,76.5,-1.54,58.61,0.02194464283250564,0.03894162346909033,-0.13797035952222947
2024-05-16,NORMAL,73.5,-1.324,57.49,0.021557847204660627,0.03819878367700409,-0.1344891096033841
2024-05-17,NORMAL,63.39,-1.498,55.26,0.020784183887149133,0.03672011787175744,-0.12078719422191295
2024-05-18,NORMAL,69.95,-1.301,56.67,0.021273908073897067,0.037655002941845366,-0.11020514495173776
2024-05-19,NORMAL,72.68,-1.2,57.32,0.021499033916232636,0.03808604298963827,-0.11420149779925731
2024-05-20,NORMAL,79.78,-1.088,61.94,0.023087731920055192,0.04115113072043721,-0.07170053328175252
2024-05-21,NORMAL,75.96,-1.41,58.59,0.021937746108574484,0.03892835725451786,-0.05356898404321064
2024-05-22,NORMAL,69.67,-1.357,56.8,0.021318965167078943,0.03774120755145545,-0.05485623173271324
2024-05-23,NORMAL,52.19,-1.809,53.18,0.0200583020022713,0.03534130809150146,-0.08492189127372687
2024-05-24,NORMAL,50.27,-1.822,52.29,0.019746444688521297,0.02805897540392646,-0.024113411285702352
2024-05-25,NORMAL,49.73,-1.766,52.21,0.01971837533659361,-0.010752987962412551,0.0183443740404185
2024-05-26,NORMAL,53.55,-1.534,53.73,0.020250643498529387,0.021527481198061325,-0.016976166951477356
2024-05-27,NORMAL,54.92,-1.504,53.91,0.02031352881618783,0.02083606928585318,-0.01621955902431821
2024-05-28,NORMAL,58.74,-0.37,54.76,0.02061006957756876,0.026980527840090973,-0.02297539295862576
2024-05-29,NORMAL,51.64,-0.506,53.24,0.020079298775390667,0.02421852848362156,-0.019920635805912107
2024-05-30,NORMAL,51.64,-0.44,53.27,0.020089795869597984,0.023480502742539707,-0.019112357859060722
2024-05-31,NORMAL,47.27,-0.109,51.99,0.019641152905091563,0.03455261309781969,-0.05561133163750681
2024-06-01,NORMAL,45.63,-0.205,50.68,0.019180363454406584,0.033684486967765874,-0.039699247908871776
2024-06-02,NORMAL,46.17,-0.171,51.11,0.019331797377966115,-0.003983247409962053,0.010892999315995883
2024-06-03,NORMAL,50.27,0.031,52.77,0.01991473176100716,-0.0482972294971528,0.059476499658102755
2024-06-04,NORMAL,54.64,0.15,53.95,0.020327499128802048,-0.07123361611440185,0.181037513216277
2024-06-05,NORMAL,64.75,0.373,55.62,0.02090939906474237,-0.0683430640581828,0.12141473639545466
2024-06-06,NORMAL,45.9,0.121,51.87,0.01959901196398873,-0.06334852755536755,0.11457071516879166
2024-06-07,NORMAL,43.17,0.074,50.02,0.01894758234086779,-0.06194900282909442,0.12486786926425891
2024-06-08,NORMAL,43.44,0.121,50.34,0.019060498537783594,-0.05985018035449066,0.09259391490503527
2024-06-09,NORMAL,45.63,0.354,51.79,0.019570910307241587,-0.03934304127455654,0.04957786839570867
2024-06-10,NORMAL,44.26,0.173,50.88,0.019250820043700264,-0.028906189530505874,0.03809145284895263
2024-06-11,NORMAL,48.91,0.367,52.49,0.01981659117606661,-0.043615145173405055,0.05432165817838547
2024-06-12,NORMAL,42.62,0.869,50.56,0.019138070951055894,-0.032389943990384196,0.041865039885577535
2024-06-13,NORMAL,40.16,0.706,49.23,0.01866839557362751,0.010888156222824987,-0.0053918147041909364
2024-06-14,NORMAL,38.52,0.626,48.56,0.01843114190426917,0.03227976155729003,-0.06682174814425025
2024-06-15,NORMAL,37.43,0.58,48.03,0.01824315403529912,0.03192860796105131,-0.0640945947966606
2024-06-16,NORMAL,36.61,0.579,47.9,0.018197001969763475,0.03184247733379206,-0.10204860832037535
2024-06-17,NORMAL,38.52,1.51,48.81,0.018519720456419902,0.03244540342774881,-0.10214141441702033
2024-06-18,NORMAL,41.8,1.662,50.06,0.018961702287021164,0.03327365022248379,-0.09550424783116188
2024-06-19,NORMAL,37.98,1.445,48.6,0.018445318560832095,0.03230626410469611,-0.10487110914820306
2024-06-20,NORMAL,37.16,1.555,48.28,0.01833186167252766,0.032094245283915857,-0.07696095377036791
2024-06-21,NORMAL,34.43,1.561,47.11,0.017916184425431105,0.03131907852256143,-0.0712595180841544
2024-06-22,NORMAL,33.33,1.491,46.43,0.01767397886915023,0.03086857024195191,-0.0781292132960675
2024-06-23,NORMAL,37.7,1.431,48.23,0.018314125020486682,0.032061117657051386,-0.060324424134151615
2024-06-24,NORMAL,45.08,1.546,50.96,0.01927899186397285,0.03387003256893076,-0.06826304047925047
2024-06-25,NORMAL,37.7,1.147,48.14,0.01828219290462546,0.03200148813497586,-0.03756081638069267
2024-06-26,NORMAL,34.7,0.996,47.05,0.0040881415436831,0.017472637350995933,-0.005195753855317481
2024-06-27,NORMAL,36.89,1.077,47.94,0.018211204361890655,0.03186897900995184,-0.0221791810504144
2024-06-28,NORMAL,32.51,0.824,45.4,-0.017237501372030017,-0.00435754694575206,0.01417978077010569
2024-06-29,NORMAL,27.32,0.613,43.47,0.016614370930500527,0.028907604183764445,-0.022053910710753466
2024-06-30,NORMAL,32.79,0.681,45.44,0.017320544544816737,0.0302126981327521,-0.06427259145741704
2024-07-01,NORMAL,30.6,0.602,44.71,0.01705931323337193,0.029729082722205202,-0.0802402529172133
2024-07-02,NORMAL,23.22,0.533,42.33,0.01620396544766667,0.028152368769994607,-0.04997392457055017
2024-07-03,NORMAL,32.79,0.522,45.36,0.017291942088531458,0.030159698946653494,-0.05307881610657818
2024-07-04,NORMAL,36.07,0.077,47.53,0.014862076663123284,0.02839385994753891,-0.014934628892260812
2024-07-05,NORMAL,40.71,-0.147,48.98,0.01857991913808525,0.0325580412256476,-0.04249983258300216
2024-07-06,NORMAL,38.52,-0.279,48.21,0.01830702967726311,0.03204786662935263,-0.09175964646190066
2024-07-07,NORMAL,45.08,-0.042,50.99,0.019289554703828152,0.03388991270312324,-0.10328224175232903
2024-07-08,NORMAL,45.08,-0.1,51.03,0.01930363713912667,0.03391641962475668,-0.12042912754716922
2024-07-09,NORMAL,41.8,-0.405,50.05,0.018958172445753797,0.03326702397658524,-0.08984395971447781
2024-07-10,NORMAL,39.07,-0.531,48.69,0.018477210342962416,0.03236589504607218,-0.07261542942405672
2024-07-11,NORMAL,38.25,-0.55,48.54,0.01842405299176462,0.0322665103048632,-0.048815803968847285
2024-07-12,NORMAL,32.79,-0.826,46.32,0.0176347559491075,0.030795694786867965,-0.10304173866616109
2024-07-13,NORMAL,40.16,-0.7,49.18,0.018650705145045507,0.032690557715654385,-0.10362953584252724
2024-07-14,NORMAL,40.44,-0.97,49.3,0.018693158094068442,0.032770068377965735,-0.08644650408840024
2024-07-15,NORMAL,57.38,-0.429,54.52,0.02052641019902629,0.036229540003562336,-0.04611315344045472
2024-07-16,NORMAL,68.31,-0.387,56.49,0.021211494950975823,0.023296742204248433,-0.018964293773238383
2024-07-17,NORMAL,74.86,-0.19,58.28,0.02183079884856116,0.03872273669902909,-0.04833818283557646
2024-07-18,NORMAL,70.77,-0.237,57.1,0.021422882136796488,0.03794014771705001,-0.06736651749097877
2024-07-19,NORMAL,79.23,-0.084,60.8,0.022697568232406994,0.012146742221814995,-0.006752568961485322
2024-07-20,NORMAL,80.6,0.127,62.65,0.02333011912378957,0.04162241757104843,-0.055389208761418826
2024-07-21,NORMAL,84.15,0.638,66.0,0.024467505388019048,0.034618146589256237,-0.03201696727591269
2024-07-22,NORMAL,84.97,0.945,67.63,0.0250172026227537,0.044930281969584006,-0.07038498860049403
2024-07-23,NORMAL,81.15,0.566,63.91,0.023759123598631176,0.0424589680251886,-0.07120443944212299
2024-07-24,NORMAL,78.42,0.202,61.39,0.02289964585352845,0.04078609795080775,-0.14333606147728015
2024-07-25,NORMAL,78.42,0.036,61.81,0.023043300556046507,0.04106484647903478,-0.10022860826911187
2024-07-26,NORMAL,76.78,-0.164,60.1,0.022457394552414373,0.0399300887052681,-0.07412136896272599
2024-07-27,NORMAL,56.56,-0.728,55.04,0.020707602884486434,0.03657426553228731,-0.05889498186599887
2024-07-28,NORMAL,46.17,-0.977,52.65,0.019872680720240867,-0.04932357514802104,0.06058676336490579
2024-07-29,NORMAL,42.08,-1.244,51.73,0.019549830022999877,0.006700360343774362,-0.0007589294877922009
2024-07-30,NORMAL,39.07,-1.245,50.62,0.019159218942321896,0.010868098940074782,-0.0053361093474468685
2024-07-31,NORMAL,34.15,-1.272,48.73,0.01849138193770562,0.03208122165040971,-0.028466939142646905
2024-08-01,NORMAL,36.61,-0.45,49.81,0.018873427193721256,0.027276143793629228,-0.023238652094859563
2024-08-02,NORMAL,41.53,-0.382,51.4,0.01943382649999129,0.03416161285630442,-0.05245491853360325
